row_id,interaction_id,span_index,span_id,expected_project_id,expected_project_name_contains,expected_decision,notes,tags
gt_0026,cll_06E2ZJVMX1Z05B586R2CCJ36MM,0,,,kreikemeier,assign,,
gt_0027,cll_06E2ZJVMX1Z05B586R2CCJ36MM,1,,,kreikemeier,assign,,
gt_0028,cll_06E368SS4XTAS9PH4YF6YKEJYR,0,,,winship,assign,,
gt_0029,cll_06E368SS4XTAS9PH4YF6YKEJYR,1,,,winship,assign,,
gt_0030,cll_06E3YJFNA1XTX4PR9KJVTTHWSM,0,,,winship,assign,,
gt_0031,cll_06E3YJFNA1XTX4PR9KJVTTHWSM,1,,,winship,assign,,
gt_0032,cll_06E3YJFNA1XTX4PR9KJVTTHWSM,2,,,winship,assign,,
gt_0033,cll_06E3YJFNA1XTX4PR9KJVTTHWSM,3,,,winship,assign,,
gt_0034,cll_06E3YJFNA1XTX4PR9KJVTTHWSM,4,,,winship,assign,,
gt_0035,cll_06E45FDGQNSDD7RKBTJRTS0RAC,0,,,permar,assign,,
gt_0036,cll_06E45FDGQNSDD7RKBTJRTS0RAC,1,,,permar,assign,,
gt_0037,cll_06E45YJE9XWEK0SE3DPP6X23HM,0,,,winship,assign,,
gt_0038,cll_06E4600Y4SSKD9MFM63EPB9MCW,0,,,winship,assign,,
gt_0039,cll_06E4600Y4SSKD9MFM63EPB9MCW,1,,,winship,assign,,
gt_0040,cll_06E4600Y4SSKD9MFM63EPB9MCW,2,,,winship,assign,,
gt_0041,cll_06E4600Y4SSKD9MFM63EPB9MCW,3,,,winship,assign,,
gt_0042,cll_06E46MKR29Y9X81BK52JJAM9TG,0,,,woodbery,assign,,
gt_0043,cll_06E46MKR29Y9X81BK52JJAM9TG,1,,,woodbery,assign,,
gt_0044,cll_06E46PAHC1W3B75EWZ48DN6KHC,0,,,winship,assign,,
gt_0045,cll_06E46PAHC1W3B75EWZ48DN6KHC,1,,,winship,assign,,
gt_0046,cll_06E46Y0H01Z2KFZKMH7VSB16FM,0,,,winship,assign,,
gt_0047,cll_06E46Y0H01Z2KFZKMH7VSB16FM,1,,,winship,assign,,
gt_0048,cll_06E471A9CNR6X6X14E6P6BY15W,0,,,skelton,assign,,
gt_0049,cll_06E471A9CNR6X6X14E6P6BY15W,1,,,skelton,assign,,
gt_0050,cll_06E47E38KNSG5909WX2JDDENHC,0,,,woodbery,assign,,
gt_0051,cll_06E47E38KNSG5909WX2JDDENHC,1,,,woodbery,assign,,
gt_0052,cll_06E47E38KNSG5909WX2JDDENHC,2,,,woodbery,assign,,
gt_0053,cll_06E47GAKDDSJV92AFZ3VNSQX3C,0,,,woodbery,assign,,
gt_0054,cll_06E47JAHBHSSXA44A650DZ6GF0,0,,,woodbery,assign,,
gt_0055,cll_06E47KQGN1SYDA3962CHHX2YY4,0,,,woodbery,assign,,
gt_0056,cll_06E47PRHV5R67DMHG19G8ZNYM8,0,,,woodbery,assign,,
gt_0057,cll_06E47PRHV5R67DMHG19G8ZNYM8,1,,,woodbery,assign,,
gt_0058,cll_06E47QANSNT2VDMKRR898JBAXR,0,,,woodbery,assign,,
gt_0059,cll_06E47QGTVSR8379AVV0K7HFCA4,0,,,none,none,,
gt_0060,cll_06E47R8S0NT854Z0VN6B3ASG3R,0,,,woodbery,assign,,
gt_0061,cll_06E47R8S0NT854Z0VN6B3ASG3R,1,,,woodbery,assign,,
gt_0062,cll_06E47VJN7DTD12V8W8RA8PFFZ8,0,,,winship,assign,,
gt_0063,cll_06E4G74WX9VMK2VQDVXTK3HQVG,0,,,permar,assign,,
gt_0064,cll_06E4GKKYX9RAD8YPPTX58737G8,0,,,woodbery,assign,,
gt_0065,cll_06E4GKKYX9RAD8YPPTX58737G8,1,,,woodbery,assign,,
gt_0066,cll_06E4GKKYX9RAD8YPPTX58737G8,2,,,woodbery,assign,,
gt_0067,cll_06E4J61Y41VFQFY2XCNRRQTHM0,0,,,winship,assign,,
gt_0068,cll_06E4JPQPKSX69EHC3PZMMWXHS4,0,,,winship,assign,,
gt_0069,cll_06E4JQ54RDWF79Z6N765MV2SR0,0,,,woodbery,assign,,
gt_0070,cll_06E4JV04T9WE1EXZ5YC3H53T5R,0,,,woodbery,assign,,
gt_0071,cll_06E4K02P55WQZ1JN7SAVZ3D318,0,,,woodbery,assign,,
gt_0072,cll_06E4K02P55WQZ1JN7SAVZ3D318,1,,,woodbery,assign,,
gt_0073,cll_06E4K02P55WQZ1JN7SAVZ3D318,2,,,woodbery,assign,,
gt_0074,cll_06E4K02P55WQZ1JN7SAVZ3D318,3,,,woodbery,assign,,
gt_0075,cll_06E4K4HCR5WZKE8Y0RW5VY9DNM,0,,,winship,assign,,
gt_0076,cll_06E4K4HCR5WZKE8Y0RW5VY9DNM,1,,,winship,assign,,
gt_0077,cll_06E4K4HCR5WZKE8Y0RW5VY9DNM,2,,,winship,assign,,
gt_0078,cll_06E4K89W79XQQ7TYRDTH6534CG,0,,,winship,assign,,
gt_0079,cll_06E4KJ4645YE9CFYX8CXT9XPVM,0,,,winship,assign,,
gt_0080,cll_06E4KJ4645YE9CFYX8CXT9XPVM,1,,,winship,assign,,
gt_0081,cll_06E4KJ4645YE9CFYX8CXT9XPVM,2,,,winship,assign,,
gt_0082,cll_06E4KKW99NYTS04NN3SMEFYAYG,0,,,woodbery,assign,,
gt_0083,cll_06E4KKW99NYTS04NN3SMEFYAYG,1,,,woodbery,assign,,
gt_0084,cll_06E4STVDDHT0H1CPJJBB28KNG8,0,,,winship,assign,,
gt_0085,cll_06E4STVDDHT0H1CPJJBB28KNG8,1,,,winship,assign,,
gt_0086,cll_06E4SXBE0NTCB1EVNTZGETQF6C,0,,,winship,assign,,
gt_0087,cll_06E4SXBE0NTCB1EVNTZGETQF6C,1,,,winship,assign,,
gt_0088,cll_06E5F9JKZNZZF19NWGYEDDXF6G,0,,,permar,assign,,
gt_0089,cll_06E5F9JKZNZZF19NWGYEDDXF6G,1,,,permar,assign,,
gt_0090,cll_06E0B4DTF1Y8SAN4HVJC4KZZ64,0,,,hurley,assign,,
gt_0091,cll_06E0B4DTF1Y8SAN4HVJC4KZZ64,1,,,hurley,assign,,
gt_0092,cll_06E0B4DTF1Y8SAN4HVJC4KZZ64,2,,,hurley,assign,,
gt_0093,cll_06E0B4DTF1Y8SAN4HVJC4KZZ64,3,,,hurley,assign,,
gt_0094,cll_06E09TF9F1W1QC4S7TSNK4MJAW,0,,,winship,assign,,
gt_0095,cll_06E09TF9F1W1QC4S7TSNK4MJAW,1,,,winship,assign,,
gt_0096,cll_06E0BW98ASRBB847MXYDG64C0G,0,,,none,none,,
gt_0097,cll_06E0B0JR69Y1K8CGEJJ82GFVBR,0,,,permar,assign,,
gt_0098,cll_06E0B0JR69Y1K8CGEJJ82GFVBR,1,,,permar,assign,,
gt_0099,cll_06E037QYADVR75Q0E6E5P8S058,0,,,woodbery,assign,,
gt_0100,cll_06E037QYADVR75Q0E6E5P8S058,1,,,woodbery,assign,,
gt_0101,cll_06E037QYADVR75Q0E6E5P8S058,2,,,woodbery,assign,,
gt_0102,cll_06E0BSE2Y9R8FAM7RS5KD0BQAM,0,,,woodbery,assign,,
gt_0103,cll_06E0BSE2Y9R8FAM7RS5KD0BQAM,1,,,woodbery,assign,,
gt_0104,cll_06E09FCJJ1SDFAGHZTSD4R616M,0,,,none,none,,
gt_0105,cll_06E09PKMFHW0H1KC05G69DQ9Z4,0,,,woodbery,assign,,
gt_0106,cll_06E03Q4J6NXBF84FBVTQRMZGRM,0,,,winship,assign,,
gt_0107,cll_06E03Q4J6NXBF84FBVTQRMZGRM,1,,,winship,assign,,
gt_0108,cll_06E09V97M5W2F7XAMTXEVE14VR,0,,,winship,assign,,
gt_0109,cll_06E09V97M5W2F7XAMTXEVE14VR,1,,,winship,assign,,
gt_0110,cll_06E0DT8CWDY5BCYN7E1J2WSV30,0,,,winship,assign,,
gt_0111,cll_06E0DT8CWDY5BCYN7E1J2WSV30,1,,,winship,assign,,
gt_0112,cll_06E0DT8CWDY5BCYN7E1J2WSV30,2,,,permar,assign,,
gt_0113,cll_06E0ARC879S855FPXM71S6EBJR,0,,,winship,assign,,
gt_0114,cll_06E0ARC879S855FPXM71S6EBJR,1,,,winship,assign,,
gt_0115,cll_06E0AKD1WXS3ZC2SG9JQ0XSE5M,0,,,winship,assign,,
gt_0116,cll_06E09HGEHDXFZ2KM1JGMZW3S4M,2,,,skelton,assign,,
gt_0117,cll_06E09HGEHDXFZ2KM1JGMZW3S4M,4,,,skelton,assign,,
gt_0118,cll_06E0BA5C3XYFS65V3HY7AM6RHM,0,,,permar,assign,,
gt_0119,cll_06E0BA5C3XYFS65V3HY7AM6RHM,1,,,permar,assign,,
gt_0120,cll_06E0CB4CA1R5KC4A8DRPDGCZCR,0,,,permar,assign,,
gt_0121,cll_06E0CB4CA1R5KC4A8DRPDGCZCR,1,,,permar,assign,,
gt_0122,cll_06E0CB4CA1R5KC4A8DRPDGCZCR,3,,,winship,assign,,
gt_0123,cll_06E09T4HJ5VAXB3ZPSBFKK4978,0,,,none,none,,
gt_0124,cll_06E09YE4NSW4156B8JW1ZQCFHM,0,,,woodbery,assign,,
gt_0125,cll_06E09YE4NSW4156B8JW1ZQCFHM,1,,,woodbery,assign,,
gt_0126,cll_06E09YE4NSW4156B8JW1ZQCFHM,2,,,woodbery,assign,,
gt_0127,cll_06E036A5JSVQ173D5Z7576KC1W,0,,,none,none,,
gt_0128,cll_06E0AQ56N9YGX9A1NE831BRF30,0,,,winship,assign,,
gt_0129,cll_06E0AQ56N9YGX9A1NE831BRF30,1,,,winship,assign,,
gt_0130,cll_06E09HDCXSR1X362SXGJFMGWRG,0,,,none,none,,
gt_0131,cll_06E09WVHZNVDN7NT9W3GTKN914,0,,,winship,assign,,
gt_0132,cll_06E09WVHZNVDN7NT9W3GTKN914,1,,,winship,assign,,
gt_0133,cll_06E09H1BF9R1VAGJ6ZGBSRY3E8,0,,,winship,assign,,
gt_0134,cll_06E036EMVSSF39ME83BS5ZBKH4,0,,,none,none,,
gt_0135,cll_06E0BD9AVXYNKD485TCKZ5KBPC,0,,,permar,assign,,
gt_0136,cll_06E0BD9AVXYNKD485TCKZ5KBPC,1,,,permar,assign,,
gt_0137,cll_06E0CB4CA1R5KC4A8DRPDGCZCR,2,,,permar,assign,,
gt_0138,cll_06E0BX85R5ZA19AFWHSA5V7WT8,0,,,skelton,assign,,
gt_0139,cll_06E0BX85R5ZA19AFWHSA5V7WT8,1,,,skelton,assign,,
gt_0140,cll_06E0D0WRGHRWKCVAWNNJDZG84C,0,,,permar,assign,,
gt_0141,cll_06E0D0WRGHRWKCVAWNNJDZG84C,1,,,permar,assign,,
gt_0142,cll_06DKFKAX0SS2B5N10K1TSZ43HM,0,,,permar,assign,Chad GT: concrete pump/pour call is Permar.,bucket:fresh_gt;bucket:vendor_binding;bucket:time_sync_needed
gt_0143,cll_06E0QPHWXXTSH2AC66B2FGCDAM,0,,,winship,assign,Chad GT: span0 Winship.,bucket:fresh_gt;bucket:span_purity;bucket:interior_finish
gt_0144,cll_06E0QPHWXXTSH2AC66B2FGCDAM,1,,,winship,assign,Chad GT: span1 Winship.,bucket:fresh_gt;bucket:interior_finish
gt_0145,cll_06E0QPHWXXTSH2AC66B2FGCDAM,2,,,winship,assign,Chad GT: span2 Winship.,bucket:fresh_gt;bucket:interior_finish;bucket:time_sync
gt_0146,cll_06E0QPHWXXTSH2AC66B2FGCDAM,3,,,winship,assign,Chad GT: span3 Winship (ash material discussion).,bucket:fresh_gt;bucket:materials_spec;bucket:premium_signal
